
2024/02/10 (00:52:31) | ===> btop++ v.1.2.13
2024/02/10 (00:52:31) | INFO: Logger set to INFO
2024/02/10 (00:52:33) | INFO: Logger set to DEBUG
2024/02/10 (00:52:38) | INFO: Logger set to INFO
2024/02/10 (00:52:40) | INFO: Logger set to INFO
2024/02/10 (00:52:41) | INFO: Logger set to DEBUG
2024/02/10 (00:52:41) | INFO: Logger set to DEBUG
2024/02/10 (00:52:46) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/tomorrow-night.theme
2024/02/10 (00:52:47) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/tomorrow-night.theme
2024/02/10 (00:52:48) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/solarized_dark.theme
2024/02/10 (00:52:48) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/gruvbox_dark_v2.theme
2024/02/10 (00:52:49) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/elementarish.theme
2024/02/10 (00:52:49) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/HotPurpleTrafficLight.theme
2024/02/10 (00:52:50) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/onedark.theme
2024/02/10 (00:52:50) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/flat-remix-light.theme
2024/02/10 (00:52:51) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/everforest-dark-hard.theme
2024/02/10 (00:52:51) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/whiteout.theme
2024/02/10 (00:52:52) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/kyli0x.theme
2024/02/10 (00:52:52) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/dusklight.theme
2024/02/10 (00:52:53) | DEBUG: Loading theme file: /usr/local/Cellar/btop/1.2.13/share/btop/themes/adapta.theme
